generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse
9,4,3,0.74667,0,0.0,0.2,127174.27182,4803.238284,781.257425,943.537519,0.214389,1.245161,1705.439457,38.351711
9,5,5,0.66667,0,0.0,0.2,92497.764341,2950.690647,2106.499875,944.565361,0.178355,1.445853,2011.40154,27.555457
9,6,1,0.67667,0,0.0,0.2,81307.742598,3744.606431,1219.574872,532.794044,0.143665,1.588434,780.957891,55.63855
10,0,1,0.76333,0,0.2857,0.2,139970.414384,5402.553052,936.057411,820.921468,0.172261,1.615339,1995.238223,45.979359
10,1,4,0.64667,0,0.2857,0.2,127174.27182,4803.238284,781.257425,943.537519,0.214389,1.245161,1705.439457,38.351711
10,2,2,0.74333,1,0.2857,0.2,109918.196967,4071.350731,1772.751338,850.683591,0.203147,1.346077,2290.506365,37.073988
10,3,1,0.73,0,0.2857,0.2,126378.519585,6386.956741,1130.683,823.195519,0.166181,1.99259,1771.685733,65.768303
10,4,4,0.69,0,0.2857,0.2,127315.292959,4116.183372,873.549842,740.525207,0.159616,1.285974,1623.886922,29.686775
10,5,2,0.74,1,0.2857,0.2,133137.087486,5326.444459,2370.559178,655.395565,0.15206,1.300487,2637.432282,38.315542
10,6,1,0.63667,0,0.2857,0.2,189631.483276,4944.936382,776.719534,568.768914,0.189942,1.990906,1640.440468,48.076342
11,0,0,0.64667,0,0.4286,0.2,139970.414384,5402.553052,936.057411,820.921468,0.172261,1.615339,1995.238223,45.979359
11,1,2,0.76,1,0.4286,0.2,109918.196967,4071.350731,1772.751338,850.683591,0.203147,1.346077,2290.506365,37.073988
11,2,5,0.77,1,0.4286,0.2,133137.087486,5326.444459,2370.559178,655.395565,0.15206,1.300487,2637.432282,38.315542
11,3,0,0.68667,0,0.4286,0.2,156490.750683,5512.406526,956.500027,863.990616,0.142561,1.487132,1985.096494,35.519526
11,4,2,0.62,0,0.4286,0.2,161703.355712,3964.08457,1268.510362,783.662874,0.205357,1.757162,2423.056638,38.195633
11,5,5,0.75,1,0.4286,0.2,167476.166757,4003.669402,2087.422918,600.83769,0.12188,1.491709,3121.775903,35.571823
