generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
0,0,,0.49667,0,nan,0.3,50131.28514,3803.367499,809.584785,589.88637,0.110171,0.885555,1362.348694,61.823114,59.465946,13.015743
0,1,,0.55667,0,nan,0.3,30242.531746,2989.481925,842.67919,569.574655,0.074078,1.120485,1845.181674,47.774643,71.79615,12.079323
0,2,,0.46,0,nan,0.3,37050.133999,2506.810505,778.474271,451.498379,0.064447,1.159977,1103.911304,48.245698,136.432613,7.358402
0,3,,0.52,0,nan,0.3,46153.762299,2311.343109,1069.781426,657.478599,0.082643,1.03288,3112.460927,60.223892,128.260417,8.482866
0,4,,0.53,0,nan,0.3,70361.845483,3277.912272,812.57817,1007.008209,0.108463,0.873416,1665.786891,48.796924,105.754255,6.694092
0,5,,0.52333,0,nan,0.3,48238.139851,5840.286762,948.475118,675.861801,0.085407,0.728117,1907.581495,53.390703,143.155431,8.182644
0,6,,0.53,0,nan,0.3,41960.736626,2852.686621,1165.083845,938.981604,0.174514,1.617153,1621.661703,37.474412,92.647029,5.63121
1,0,1,0.48,0,0.0,0.3,30242.531746,2989.481925,842.67919,569.574655,0.074078,1.120485,1845.181674,47.774643,71.79615,12.079323
1,1,4,0.51667,0,0.0,0.3,70361.845483,3277.912272,812.57817,1007.008209,0.108463,0.873416,1665.786891,48.796924,105.754255,6.694092
1,2,6,0.50667,0,0.0,0.3,41960.736626,2852.686621,1165.083845,938.981604,0.174514,1.617153,1621.661703,37.474412,92.647029,5.63121
1,3,1,0.55667,0,0.0,0.3,31851.261845,3046.970108,1215.768248,535.904086,0.079655,1.1326,2229.873286,85.960605,93.926295,11.035665
1,4,4,0.49,0,0.0,0.3,57747.185602,2505.249171,684.072613,924.453587,0.120106,0.613151,2857.641223,30.37184,137.211036,7.763833
1,5,6,0.49667,0,0.0,0.3,48984.922646,5290.999088,1227.236877,945.742942,0.173606,1.786771,1601.713251,40.451005,116.991325,7.667396
1,6,1,0.49,0,0.0,0.3,37561.790815,3835.2702,981.808826,706.519988,0.092545,0.94558,2330.318394,39.727679,69.255492,10.850736
2,0,3,0.43,0,0.0,0.3,31851.261845,3046.970108,1215.768248,535.904086,0.079655,1.1326,2229.873286,85.960605,93.926295,11.035665
2,1,1,0.48,0,0.0,0.3,70361.845483,3277.912272,812.57817,1007.008209,0.108463,0.873416,1665.786891,48.796924,105.754255,6.694092
2,2,2,0.46,0,0.0,0.3,41960.736626,2852.686621,1165.083845,938.981604,0.174514,1.617153,1621.661703,37.474412,92.647029,5.63121
2,3,3,0.46333,0,0.0,0.3,16143.592902,1964.224661,1044.18328,700.66776,0.110249,1.398348,1358.184243,44.014745,91.16816,9.631356
2,4,1,0.49,0,0.0,0.3,79423.996439,1909.856417,1017.924904,1187.564194,0.103191,0.746488,2044.156027,52.013424,154.587255,5.969
2,5,2,0.47333,0,0.0,0.3,61463.857831,2122.205434,1638.47319,733.805093,0.228419,2.347605,1293.632158,25.107239,166.108751,6.459617
2,6,3,0.47667,0,0.0,0.3,17870.398227,3854.485623,779.902752,394.773716,0.032082,0.748965,2394.539233,87.306876,133.551158,8.176271
3,0,4,0.44333,0,0.7143,0.3,79423.996439,1909.856417,1017.924904,1187.564194,0.103191,0.746488,2044.156027,52.013424,154.587255,5.969
3,1,1,0.49,1,0.7143,0.3,70361.845483,3277.912272,812.57817,1007.008209,0.108463,0.873416,1665.786891,48.796924,105.754255,6.694092
3,2,6,0.48667,1,0.7143,0.3,17870.398227,3854.485623,779.902752,394.773716,0.032082,0.748965,2394.539233,87.306876,133.551158,8.176271
3,3,4,0.50333,1,0.7143,0.3,114779.17648,2059.376641,1081.067531,1249.658631,0.071568,0.674267,3652.550922,67.505783,189.438714,2.743455
3,4,1,0.5,1,0.7143,0.3,70194.285204,2937.095783,850.545588,935.422952,0.103644,1.146678,1615.188943,70.976043,105.355205,6.911703
3,5,6,0.49333,1,0.7143,0.3,22055.375307,3174.668622,583.840305,357.851991,0.039809,0.925354,2084.557357,72.583206,100.041611,11.058367
3,6,4,0.47333,0,0.7143,0.3,87371.254935,2328.290786,1156.145305,2055.858959,0.131791,0.810598,2053.38846,43.133254,430.957417,5.901672
4,0,3,0.55667,1,0.2857,0.3,114779.17648,2059.376641,1081.067531,1249.658631,0.071568,0.674267,3652.550922,67.505783,189.438714,2.743455
4,1,4,0.47,0,0.2857,0.3,70194.285204,2937.095783,850.545588,935.422952,0.103644,1.146678,1615.188943,70.976043,105.355205,6.911703
4,2,5,0.48,0,0.2857,0.3,22055.375307,3174.668622,583.840305,357.851991,0.039809,0.925354,2084.557357,72.583206,100.041611,11.058367
