generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse
0,0,,0.63333,0,nan,0.2,57896.566849,2967.72671,854.34598,743.704092,0.086584,0.807297,1347.446217,53.406927
0,1,,0.67667,0,nan,0.2,29873.377588,3890.425309,904.236053,630.020056,0.131265,1.186357,2399.494348,38.572311
0,2,,0.72667,0,nan,0.2,56870.053257,3248.871761,752.721357,637.105966,0.113506,0.990305,1545.779111,52.60982
0,3,,0.70667,0,nan,0.2,39658.560578,2848.032833,766.43551,788.245733,0.098714,1.322878,1341.439883,49.232429
0,4,,0.68667,0,nan,0.2,40803.846081,2847.393822,869.917051,616.742411,0.081334,0.883307,1824.32392,40.959357
0,5,,0.73333,0,nan,0.2,48105.500324,4463.758473,704.983419,836.355821,0.074529,1.16248,1844.328232,45.752372
0,6,,0.72333,0,nan,0.2,64094.918684,3390.632641,1029.588686,511.657069,0.101373,0.81215,1144.259074,49.261165
1,0,5,0.66,0,0.4286,0.2,48105.500324,4463.758473,704.983419,836.355821,0.074529,1.16248,1844.328232,45.752372
1,1,2,0.74,1,0.4286,0.2,56870.053257,3248.871761,752.721357,637.105966,0.113506,0.990305,1545.779111,52.60982
1,2,6,0.68667,0,0.4286,0.2,64094.918684,3390.632641,1029.588686,511.657069,0.101373,0.81215,1144.259074,49.261165
1,3,5,0.8,1,0.4286,0.2,57437.366222,3290.642875,882.203526,903.095367,0.074416,1.205231,1584.491043,64.061298
1,4,2,0.69667,0,0.4286,0.2,44025.769912,4081.08272,754.846423,518.040631,0.096543,1.23256,1240.032937,42.312526
1,5,6,0.75,1,0.4286,0.2,85258.829715,4375.252049,1404.881614,451.749327,0.131857,0.631247,976.010942,49.642968
1,6,5,0.70667,0,0.4286,0.2,40437.018107,5578.565824,763.151606,746.176048,0.057146,1.441596,1768.143944,63.510192
2,0,3,0.69667,0,0.1429,0.2,57437.366222,3290.642875,882.203526,903.095367,0.074416,1.205231,1584.491043,64.061298
2,1,5,0.76333,1,0.1429,0.2,85258.829715,4375.252049,1404.881614,451.749327,0.131857,0.631247,976.010942,49.642968
2,2,1,0.64667,0,0.1429,0.2,56870.053257,3248.871761,752.721357,637.105966,0.113506,0.990305,1545.779111,52.60982
2,3,3,0.67,0,0.1429,0.2,44290.910898,3643.103038,1145.190165,1107.421317,0.052463,1.210435,1272.021971,76.6493
2,4,5,0.70667,0,0.1429,0.2,85420.287727,4573.236001,1526.71597,501.658339,0.100284,0.710427,942.848594,33.506744
2,5,1,0.72,0,0.1429,0.2,58722.332645,3920.703603,820.456859,407.178499,0.091963,1.039168,1403.360489,49.148624
2,6,3,0.70667,0,0.1429,0.2,59765.851595,3410.298582,1193.609295,939.90107,0.102809,1.691796,1833.466588,69.021076
3,0,1,0.76333,0,0.1429,0.2,85258.829715,4375.252049,1404.881614,451.749327,0.131857,0.631247,976.010942,49.642968
3,1,5,0.63667,0,0.1429,0.2,58722.332645,3920.703603,820.456859,407.178499,0.091963,1.039168,1403.360489,49.148624
3,2,4,0.73667,1,0.1429,0.2,85420.287727,4573.236001,1526.71597,501.658339,0.100284,0.710427,942.848594,33.506744
3,3,1,0.74,0,0.1429,0.2,72734.359078,3528.964442,1296.26029,435.630247,0.139844,0.516303,944.406801,57.278314
3,4,5,0.66333,0,0.1429,0.2,40965.748076,3947.645264,918.243688,342.873517,0.095429,1.382048,1600.485355,49.501849
3,5,4,0.64667,0,0.1429,0.2,90986.479483,3886.503815,1447.734688,742.536679,0.085588,0.649347,968.688971,48.503538
3,6,1,0.73333,0,0.1429,0.2,111530.027938,3596.74275,1661.530274,401.751466,0.107084,0.559946,771.287623,56.49709
4,0,0,0.66667,0,0.0,0.2,85258.829715,4375.252049,1404.881614,451.749327,0.131857,0.631247,976.010942,49.642968
4,1,3,0.73,0,0.0,0.2,72734.359078,3528.964442,1296.26029,435.630247,0.139844,0.516303,944.406801,57.278314
4,2,2,0.65333,0,0.0,0.2,85420.287727,4573.236001,1526.71597,501.658339,0.100284,0.710427,942.848594,33.506744
4,3,0,0.71,0,0.0,0.2,82012.070089,3948.020192,1456.4241,428.176896,0.124083,0.502961,1111.390211,47.265329
4,4,3,0.72667,0,0.0,0.2,86811.738034,3712.277157,1363.080012,549.879199,0.109128,0.566809,1018.739117,86.772207
