timestep,opponent,winrate,mean_ep_reward,sample_count
573440,Self-Play,0.5649,147.47,285
573440,Spam Bot T1,0.75,138.14,12
573440,Spam Bot T2,1.0,159.9,5
573440,Spam Bot T3,1.0,143.23,2
573440,Spam Bot T5,0.0,110.22,1
573440,Spam Bot T6,0.5,139.75,2
573440,Spam Bot T7,1.0,136.77,3
573440,Spam Bot T8,0.6,156.68,5
573440,castle_defense_p1_v16,1.0,169.29,2
573440,castle_defense_p1_v20,0.0,110.22,1
573440,castle_defense_p1_v21,0.25,153.53,4
573440,castle_defense_p1_v22,1.0,130.81,1
573440,castle_defense_p1_v23,1.0,110.22,1
573440,castle_defense_p1_v25_bc,0.5,169.29,2
573440,castle_defense_p1_v27,0.5,139.75,2
573440,castle_defense_p1_v27_last,1.0,146.77,3
573440,castle_defense_p1_v3,0.0,130.81,1
573440,castle_defense_p1_v4,0.0,130.81,2
573440,v28_snap_20260726_005800,0.0,169.29,1
573440,v28_snap_20260726_012419,1.0,110.22,1
573440,v28_snap_20260726_015042,1.0,153.86,1
573440,v28_snap_20260726_021730,1.0,153.86,1
573440,v28_snap_20260726_024418,1.0,151.32,3
573440,v28_snap_20260726_033659,1.0,142.33,2
573440,v28_snap_20260726_040326,1.0,132.04,2
573440,v28_snap_20260726_043005,0.0,130.81,2
573440,v28_snap_20260726_045639,1.0,172.77,2
573440,v29_snap_20260726_142419,1.0,169.29,1
573440,v29_snap_20260726_145116,0.5,161.57,2
573440,v29_snap_20260726_163913,1.0,139.75,2
573440,v29_snap_20260726_170553,1.0,130.81,1
573440,v29_snap_20260726_173235,1.0,176.24,1
573440,v30_snap_20260727_103227,1.0,153.86,2
573440,v30_snap_20260727_112801,0.0,176.24,1
573440,v30_snap_20260727_115518,0.0,169.29,2
573440,v30_snap_20260727_134517,1.0,132.04,2
573440,v30_snap_20260727_141243,0.0,110.22,1
573440,v30_snap_20260727_144030,1.0,130.81,1
688128,Anti-Spam Bot,0.3333,140.51,15
688128,Heuristic Bot,0.1382,154.2,217
688128,Random Dummy,0.45,154.59,20
688128,Self-Play,0.5853,150.42,340
688128,Spam Bot T1,0.6667,143.66,15
688128,Spam Bot T2,1.0,159.9,5
688128,Spam Bot T3,1.0,143.23,2
688128,Spam Bot T5,0.0,110.22,1
688128,Spam Bot T6,0.6667,148.42,3
688128,Spam Bot T7,1.0,136.77,3
688128,Spam Bot T8,0.6,156.68,5
688128,castle_defense_p1_v16,1.0,168.1,3
688128,castle_defense_p1_v20,0.5,137.98,2
688128,castle_defense_p1_v21,0.25,153.53,4
688128,castle_defense_p1_v22,1.0,130.81,1
688128,castle_defense_p1_v23,0.5,137.98,2
688128,castle_defense_p1_v25_bc,0.5,169.29,2
688128,castle_defense_p1_v27,0.5,139.75,2
688128,castle_defense_p1_v27_last,1.0,151.51,4
688128,castle_defense_p1_v3,0.0,130.81,1
688128,castle_defense_p1_v4,0.0,130.81,2
688128,v28_snap_20260726_005800,0.0,169.29,1
688128,v28_snap_20260726_012419,1.0,147.23,3
688128,v28_snap_20260726_015042,1.0,159.8,2
688128,v28_snap_20260726_021730,1.0,153.86,1
688128,v28_snap_20260726_024418,1.0,154.92,4
688128,v28_snap_20260726_033659,1.0,142.33,2
688128,v28_snap_20260726_040326,1.0,132.04,2
688128,v28_snap_20260726_043005,0.0,130.81,2
688128,v28_snap_20260726_045639,1.0,172.77,2
688128,v29_snap_20260726_142419,1.0,169.29,1
688128,v29_snap_20260726_145116,0.5,161.57,2
688128,v29_snap_20260726_163913,1.0,148.42,3
688128,v29_snap_20260726_170553,1.0,130.81,1
688128,v29_snap_20260726_173235,1.0,176.24,1
688128,v30_snap_20260727_103227,1.0,153.86,2
688128,v30_snap_20260727_110006,1.0,165.74,1
688128,v30_snap_20260727_112801,0.0,176.24,1
688128,v30_snap_20260727_115518,0.0,169.29,2
688128,v30_snap_20260727_125007,0.0,165.74,1
688128,v30_snap_20260727_134517,1.0,132.04,2
688128,v30_snap_20260727_141243,0.0,110.22,1
688128,v30_snap_20260727_144030,1.0,130.81,1
802816,Anti-Spam Bot,0.3,142.74,20
802816,Heuristic Bot,0.117,153.33,265
802816,Random Dummy,0.5,153.73,24
802816,Self-Play,0.581,150.3,389
802816,Spam Bot T1,0.625,144.02,16
802816,Spam Bot T2,1.0,159.9,5
802816,Spam Bot T3,1.0,143.23,2
802816,Spam Bot T4,0.0,149.43,1
802816,Spam Bot T5,0.0,110.22,1
802816,Spam Bot T6,0.5,148.67,4
802816,Spam Bot T7,1.0,136.77,3
802816,Spam Bot T8,0.6,156.68,5
802816,castle_defense_p1_v16,1.0,168.1,3
802816,castle_defense_p1_v20,0.5,137.98,2
802816,castle_defense_p1_v21,0.25,153.53,4
802816,castle_defense_p1_v22,1.0,130.81,1
802816,castle_defense_p1_v23,0.25,143.7,4
802816,castle_defense_p1_v25_bc,0.6667,162.67,3
802816,castle_defense_p1_v27,0.5,139.75,2
802816,castle_defense_p1_v27_last,1.0,151.1,5
802816,castle_defense_p1_v3,0.0,130.81,1
802816,castle_defense_p1_v4,0.0,137.02,3
802816,v28_snap_20260726_005800,0.0,169.29,1
802816,v28_snap_20260726_012419,1.0,147.23,3
802816,v28_snap_20260726_015042,1.0,159.8,2
802816,v28_snap_20260726_021730,1.0,153.86,1
802816,v28_snap_20260726_024418,1.0,154.92,4
802816,v28_snap_20260726_033659,1.0,142.33,2
802816,v28_snap_20260726_040326,1.0,137.83,3
802816,v28_snap_20260726_043005,0.0,130.81,2
802816,v28_snap_20260726_045639,1.0,172.77,2
802816,v29_snap_20260726_142419,1.0,169.29,1
802816,v29_snap_20260726_145116,0.5,161.57,2
802816,v29_snap_20260726_154531,0.0,149.43,1
802816,v29_snap_20260726_163913,1.0,148.67,4
802816,v29_snap_20260726_170553,1.0,130.81,1
802816,v29_snap_20260726_173235,1.0,176.24,1
802816,v30_snap_20260727_103227,1.0,153.86,2
802816,v30_snap_20260727_110006,1.0,165.74,1
802816,v30_snap_20260727_112801,0.0,176.24,1
802816,v30_snap_20260727_115518,0.0,162.67,3
802816,v30_snap_20260727_125007,0.0,165.74,1
802816,v30_snap_20260727_134517,1.0,132.04,2
802816,v30_snap_20260727_141243,0.0,110.22,1
802816,v30_snap_20260727_144030,1.0,130.81,1
917504,Anti-Spam Bot,0.2857,143.87,21
917504,Heuristic Bot,0.1283,155.02,304
