generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
5,1,0,0.47667,0,0.4286,0.3,36953.03995,6935.056745,1615.224197,977.300991,0.110634,0.906611,1264.440491,43.416955,72.579765,12.210094
5,2,2,0.45667,0,0.4286,0.3,80206.891015,2522.857625,235.354585,632.189029,0.122276,0.330561,1108.486672,55.398698,94.775449,11.933094
5,3,4,0.53,1,0.4286,0.3,28182.631953,3240.052937,833.75397,876.47384,0.117724,0.26661,1110.495247,42.555505,31.41149,27.722776
5,4,0,0.53,1,0.4286,0.3,35948.647923,8030.820132,2372.13977,924.549502,0.140991,0.915838,1773.741928,38.83427,74.699706,10.331277
5,5,2,0.50667,0,0.4286,0.3,117351.797236,3038.709018,196.067085,886.953944,0.231862,0.316973,716.776218,48.535522,68.955757,10.915829
5,6,4,0.53,1,0.4286,0.3,34808.452779,3099.237923,701.980598,759.915895,0.071629,0.219208,1336.966881,21.034839,76.378749,15.50076
6,0,3,0.51333,0,0.1429,0.3,28182.631953,3240.052937,833.75397,876.47384,0.117724,0.26661,1110.495247,42.555505,31.41149,27.722776
6,1,4,0.53,0,0.1429,0.3,35948.647923,8030.820132,2372.13977,924.549502,0.140991,0.915838,1773.741928,38.83427,74.699706,10.331277
6,2,6,0.50333,0,0.1429,0.3,34808.452779,3099.237923,701.980598,759.915895,0.071629,0.219208,1336.966881,21.034839,76.378749,15.50076
6,3,3,0.53,0,0.1429,0.3,15404.230849,3315.876162,461.205743,954.072004,0.14448,0.428045,1284.647713,30.995735,30.450169,23.598436
6,4,4,0.48667,0,0.1429,0.3,29764.804122,8925.047064,2221.139758,1466.748969,0.187686,0.982748,2216.223649,25.637823,54.784879,12.378018
6,5,6,0.52333,0,0.1429,0.3,30129.862328,2593.364726,1231.240329,998.141346,0.059482,0.276691,1667.83001,26.244635,52.150629,11.796981
6,6,3,0.55667,1,0.1429,0.3,39547.074486,2491.854498,1054.770597,716.339347,0.112778,0.28309,878.962029,40.726072,36.859381,22.539709
7,0,6,0.49667,0,0.1429,0.3,39547.074486,2491.854498,1054.770597,716.339347,0.112778,0.28309,878.962029,40.726072,36.859381,22.539709
7,1,1,0.5,0,0.1429,0.3,35948.647923,8030.820132,2372.13977,924.549502,0.140991,0.915838,1773.741928,38.83427,74.699706,10.331277
7,2,3,0.49333,0,0.1429,0.3,15404.230849,3315.876162,461.205743,954.072004,0.14448,0.428045,1284.647713,30.995735,30.450169,23.598436
7,3,6,0.47333,0,0.1429,0.3,35901.593229,1955.592755,739.656302,805.090051,0.092547,0.316793,709.775842,26.296634,25.652891,45.779323
7,4,1,0.53,0,0.1429,0.3,38461.983057,6484.69739,2760.363668,934.599492,0.153389,0.837125,1664.618334,58.411304,85.52114,13.779664
7,5,3,0.47333,0,0.1429,0.3,14958.087905,3870.351185,377.622236,1121.075084,0.12859,0.748401,1591.158276,26.972414,31.244514,21.093802
7,6,6,0.57333,1,0.1429,0.3,26781.401878,2814.286708,1018.234486,1005.285489,0.123732,0.41591,808.065362,30.889154,31.108264,23.485623
8,0,6,0.52333,0,0.1429,0.3,26781.401878,2814.286708,1018.234486,1005.285489,0.123732,0.41591,808.065362,30.889154,31.108264,23.485623
8,1,4,0.48667,0,0.1429,0.3,38461.983057,6484.69739,2760.363668,934.599492,0.153389,0.837125,1664.618334,58.411304,85.52114,13.779664
8,2,1,0.50667,1,0.1429,0.3,35948.647923,8030.820132,2372.13977,924.549502,0.140991,0.915838,1773.741928,38.83427,74.699706,10.331277
8,3,6,0.51333,0,0.1429,0.3,28447.724976,2570.78488,735.736964,1368.070801,0.121342,0.62902,1098.301576,24.624605,24.933978,43.829364
8,4,4,0.48,0,0.1429,0.3,29590.94882,10311.761359,4509.650752,754.754568,0.121036,0.540577,1802.974997,44.123,72.553298,13.334433
8,5,1,0.47333,0,0.1429,0.3,25610.709024,7086.561302,2958.259126,779.000232,0.140518,0.997308,2321.511203,41.06143,106.918499,12.15636
8,6,6,0.51667,0,0.1429,0.3,34712.780587,2250.422585,1398.030583,1205.81839,0.087297,0.506623,836.531736,49.337434,31.165473,23.471725
9,0,0,0.5,0,0.2857,0.3,26781.401878,2814.286708,1018.234486,1005.285489,0.123732,0.41591,808.065362,30.889154,31.108264,23.485623
9,1,6,0.48667,0,0.2857,0.3,34712.780587,2250.422585,1398.030583,1205.81839,0.087297,0.506623,836.531736,49.337434,31.165473,23.471725
9,2,3,0.53,1,0.2857,0.3,28447.724976,2570.78488,735.736964,1368.070801,0.121342,0.62902,1098.301576,24.624605,24.933978,43.829364
9,3,0,0.47667,0,0.2857,0.3,17188.164742,2196.166495,729.531406,1632.86435,0.085986,0.594654,785.904508,18.72585,33.991449,28.887727
9,4,6,0.48,0,0.2857,0.3,40545.947459,2527.47178,1167.73591,1554.138023,0.102423,0.494753,708.778063,38.522307,31.261434,15.616108
9,5,3,0.47333,0,0.2857,0.3,19305.014184,3187.634924,453.064436,1076.634751,0.125134,0.703774,1828.275963,15.744932,17.026568,63.976088
9,6,0,0.55,1,0.2857,0.3,35372.261489,1634.479719,1339.900757,713.278543,0.092482,0.368744,629.908173,23.393107,17.104919,22.838233
10,0,6,0.45667,0,0.1429,0.3,35372.261489,1634.479719,1339.900757,713.278543,0.092482,0.368744,629.908173,23.393107,17.104919,22.838233
10,1,2,0.45333,0,0.1429,0.3,28447.724976,2570.78488,735.736964,1368.070801,0.121342,0.62902,1098.301576,24.624605,24.933978,43.829364
10,2,0,0.54667,1,0.1429,0.3,26781.401878,2814.286708,1018.234486,1005.285489,0.123732,0.41591,808.065362,30.889154,31.108264,23.485623
10,3,6,0.45333,0,0.1429,0.3,41725.13074,1380.731348,1394.170652,586.92683,0.078712,0.467469,778.552485,12.437658,17.829432,15.182693
10,4,2,0.47,0,0.1429,0.3,47097.936334,3099.97593,590.563053,870.524651,0.137957,0.565441,711.875651,45.974728,22.969641,74.549479
10,5,0,0.49333,0,0.1429,0.3,35163.984171,2186.2745,930.472668,1112.638858,0.084655,0.508727,1565.649421,27.741259,21.677585,21.308428
10,6,6,0.51667,0,0.1429,0.3,36557.738949,1844.005388,1255.952328,663.634166,0.129821,0.387678,368.869275,19.62194,23.651084,25.041127
11,0,2,0.49333,0,0.2857,0.3,26781.401878,2814.286708,1018.234486,1005.285489,0.123732,0.41591,808.065362,30.889154,31.108264,23.485623
11,1,6,0.48,0,0.2857,0.3,36557.738949,1844.005388,1255.952328,663.634166,0.129821,0.387678,368.869275,19.62194,23.651084,25.041127
11,2,5,0.60333,1,0.2857,0.3,35163.984171,2186.2745,930.472668,1112.638858,0.084655,0.508727,1565.649421,27.741259,21.677585,21.308428
11,3,2,0.5,0,0.2857,0.3,27088.321894,4806.429508,1440.331643,927.466024,0.083437,0.358577,759.791474,23.210779,40.725905,25.699277
11,4,6,0.53667,1,0.2857,0.3,34845.033848,1515.985812,1279.346523,1170.793138,0.129017,0.367612,319.884849,19.29945,12.892698,22.490803
11,5,5,0.49333,0,0.2857,0.3,25880.808407,2417.278461,717.015809,1020.539964,0.079271,0.84824,1552.3016,13.597197,28.816606,14.854686
11,6,2,0.51667,0,0.2857,0.3,21886.619877,2871.220933,778.216903,1570.472754,0.109461,0.382985,766.748671,28.358521,26.215263,22.470476
12,0,2,0.50667,0,0.0,0.3,35163.984171,2186.2745,930.472668,1112.638858,0.084655,0.508727,1565.649421,27.741259,21.677585,21.308428
12,1,4,0.53,0,0.0,0.3,34845.033848,1515.985812,1279.346523,1170.793138,0.129017,0.367612,319.884849,19.29945,12.892698,22.490803
12,2,6,0.5,0,0.0,0.3,21886.619877,2871.220933,778.216903,1570.472754,0.109461,0.382985,766.748671,28.358521,26.215263,22.470476
12,3,2,0.49,0,0.0,0.3,23253.060699,1786.541735,844.652077,792.066296,0.064653,0.639689,1300.814965,25.959614,29.811621,23.007243
12,4,4,0.48667,0,0.0,0.3,21007.010016,1314.467461,1067.807142,623.946162,0.148092,0.215537,326.203204,17.307235,12.556559,25.865768
12,5,6,0.45333,0,0.0,0.3,17023.886038,2817.208861,1552.375202,1874.095889,0.114136,0.319992,1000.966509,18.722159,30.3983,17.879298
12,6,2,0.51333,0,0.0,0.3,54202.525671,1723.358196,1629.930643,1008.455809,0.052589,0.35705,1716.884598,50.538062,33.876032,21.247954
13,0,1,0.50667,0,0.4286,0.3,34845.033848,1515.985812,1279.346523,1170.793138,0.129017,0.367612,319.884849,19.29945,12.892698,22.490803
13,1,6,0.54667,1,0.4286,0.3,54202.525671,1723.358196,1629.930643,1008.455809,0.052589,0.35705,1716.884598,50.538062,33.876032,21.247954
13,2,0,0.52667,1,0.4286,0.3,35163.984171,2186.2745,930.472668,1112.638858,0.084655,0.508727,1565.649421,27.741259,21.677585,21.308428
13,3,1,0.50333,0,0.4286,0.3,39726.238959,2085.278973,1576.18618,791.2014,0.166918,0.413792,304.48756,16.546325,10.00824,22.350478
13,4,6,0.50667,0,0.4286,0.3,87238.079479,907.865538,1133.877177,1190.904879,0.070042,0.409038,1676.420142,85.316405,25.726688,15.330034
13,5,0,0.56,1,0.4286,0.3,32430.917609,2201.726677,1676.373259,864.00454,0.037656,0.352917,1113.408247,21.717437,24.846106,18.790918
13,6,1,0.53,0,0.4286,0.3,33391.207285,1822.484574,767.07057,1424.103127,0.07897,0.229884,330.528458,16.491527,12.517681,16.096759
14,0,5,0.49667,0,0.0,0.3,32430.917609,2201.726677,1676.373259,864.00454,0.037656,0.352917,1113.408247,21.717437,24.846106,18.790918
14,1,1,0.54,0,0.0,0.3,54202.525671,1723.358196,1629.930643,1008.455809,0.052589,0.35705,1716.884598,50.538062,33.876032,21.247954
14,2,6,0.51,0,0.0,0.3,33391.207285,1822.484574,767.07057,1424.103127,0.07897,0.229884,330.528458,16.491527,12.517681,16.096759
14,3,5,0.50667,0,0.0,0.3,19922.534524,2568.48603,1792.815566,1206.147876,0.050475,0.381246,1015.257667,31.781695,16.056564,15.283848
14,4,1,0.52333,0,0.0,0.3,43792.746821,1007.410008,1514.177071,833.511792,0.038729,0.273672,1777.199965,54.860998,50.695295,19.755343
14,5,6,0.49333,0,0.0,0.3,49464.710783,1400.024835,466.001162,2257.900675,0.080602,0.21191,631.0107,13.863601,18.701134,15.737721
14,6,5,0.48,0,0.0,0.3,38202.084906,2622.125497,1954.702866,1003.264689,0.04185,0.352351,1542.297396,17.263465,19.488623,18.599668
15,0,1,0.47667,0,0.1429,0.3,54202.525671,1723.358196,1629.930643,1008.455809,0.052589,0.35705,1716.884598,50.538062,33.876032,21.247954
15,1,4,0.55667,1,0.1429,0.3,43792.746821,1007.410008,1514.177071,833.511792,0.038729,0.273672,1777.199965,54.860998,50.695295,19.755343
15,2,2,0.50667,0,0.1429,0.3,33391.207285,1822.484574,767.07057,1424.103127,0.07897,0.229884,330.528458,16.491527,12.517681,16.096759
15,3,1,0.50333,0,0.1429,0.3,49587.095632,1993.07495,1025.228287,960.744971,0.041865,0.458592,1343.548353,51.022032,30.706733,18.595977
15,4,4,0.48,0,0.1429,0.3,56737.620413,1043.873956,2537.05731,456.291332,0.029521,0.236493,1377.754549,52.407503,48.001842,25.923574
15,5,2,0.44667,0,0.1429,0.3,33851.184876,1642.760129,719.886837,1394.254294,0.082427,0.182101,358.378293,22.503751,16.788345,15.537315
15,6,1,0.51,0,0.1429,0.3,65010.996983,2147.865067,1866.460558,1084.585532,0.043748,0.707091,1737.609953,47.673295,34.360037,13.538971
16,0,1,0.51,0,0.1429,0.3,43792.746821,1007.410008,1514.177071,833.511792,0.038729,0.273672,1777.199965,54.860998,50.695295,19.755343
16,1,6,0.49333,0,0.1429,0.3,65010.996983,2147.865067,1866.460558,1084.585532,0.043748,0.707091,1737.609953,47.673295,34.360037,13.538971
16,2,2,0.52,1,0.1429,0.3,33391.207285,1822.484574,767.07057,1424.103127,0.07897,0.229884,330.528458,16.491527,12.517681,16.096759
16,3,1,0.49,0,0.1429,0.3,50827.68267,718.812955,1351.874603,975.704373,0.038718,0.279761,1877.096338,116.120165,44.691776,22.859449
16,4,6,0.50667,0,0.1429,0.3,86227.474384,2051.732049,1270.345201,996.984876,0.026329,0.719078,2153.798643,48.974858,35.932189,10.542027
16,5,2,0.49667,0,0.1429,0.3,35486.98343,1447.356383,617.235385,1062.414504,0.07374,0.164053,309.24069,32.566352,12.763286,20.461203
16,6,1,0.51,0,0.1429,0.3,30225.362929,2059.920774,960.999011,831.954412,0.034377,0.132809,1469.004265,48.156368,49.140162,14.809317
