generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse
0,0,,0.86667,0,nan,0.2,59161.959081,2877.238181,707.184016,695.484885,0.080087,1.02948,1921.019495,57.76986
0,1,,0.86333,0,nan,0.2,54309.915772,2307.91111,577.553923,677.917501,0.072306,0.99762,1196.666274,27.18348
0,2,,0.9,0,nan,0.2,56013.982344,2643.615572,1376.637064,886.053434,0.084116,0.943301,3080.235509,50.689965
0,3,,0.88333,0,nan,0.2,58266.415314,1748.221458,1028.06072,672.098587,0.145888,1.159695,1312.215051,48.887489
0,4,,0.92,0,nan,0.2,47388.303888,2825.556869,781.79649,759.151875,0.090517,0.933808,2159.193051,35.978825
0,5,,0.87667,0,nan,0.2,78832.306199,4340.637898,648.02353,425.669366,0.086664,1.068542,1575.316101,51.906946
0,6,,0.91,0,nan,0.2,56113.806501,3147.441266,781.738908,912.036869,0.105832,1.00284,1412.311142,33.991578
1,0,4,0.92333,1,0.2857,0.2,47388.303888,2825.556869,781.79649,759.151875,0.090517,0.933808,2159.193051,35.978825
1,1,6,0.89667,0,0.2857,0.2,56113.806501,3147.441266,781.738908,912.036869,0.105832,1.00284,1412.311142,33.991578
1,2,2,0.87667,0,0.2857,0.2,56013.982344,2643.615572,1376.637064,886.053434,0.084116,0.943301,3080.235509,50.689965
1,3,4,0.89333,0,0.2857,0.2,49415.35749,2469.417481,658.845225,1044.836158,0.092763,0.779511,2083.57882,39.599469
1,4,6,0.90333,0,0.2857,0.2,65110.625304,3437.337333,909.972672,1012.943233,0.10306,1.138379,1779.872382,30.574932
1,5,2,0.90333,1,0.2857,0.2,50774.73704,2678.950685,1152.085553,645.649106,0.068395,1.002884,3848.426049,40.841854
1,6,4,0.83,0,0.2857,0.2,36437.718103,2246.488289,1133.908054,793.073784,0.087142,0.865747,2160.78755,44.258231
2,0,0,0.89667,0,0.1429,0.2,47388.303888,2825.556869,781.79649,759.151875,0.090517,0.933808,2159.193051,35.978825
2,1,4,0.91333,1,0.1429,0.2,65110.625304,3437.337333,909.972672,1012.943233,0.10306,1.138379,1779.872382,30.574932
2,2,5,0.85667,0,0.1429,0.2,50774.73704,2678.950685,1152.085553,645.649106,0.068395,1.002884,3848.426049,40.841854
2,3,0,0.91667,0,0.1429,0.2,50728.373356,2213.344606,761.768492,845.554689,0.075614,0.812925,1706.50238,33.241629
2,4,4,0.90333,0,0.1429,0.2,57382.243792,5211.392013,466.341353,926.326066,0.116949,1.499476,1338.537273,27.132281
2,5,5,0.84,0,0.1429,0.2,39781.135556,2630.008955,893.299514,587.861151,0.061202,0.987392,5759.715809,52.160054
2,6,0,0.87667,0,0.1429,0.2,38279.115103,3257.709683,769.097276,686.47968,0.092366,0.893107,2401.946447,47.672368
3,0,3,0.87333,0,0.1429,0.2,50728.373356,2213.344606,761.768492,845.554689,0.075614,0.812925,1706.50238,33.241629
3,1,1,0.89,0,0.1429,0.2,65110.625304,3437.337333,909.972672,1012.943233,0.10306,1.138379,1779.872382,30.574932
3,2,4,0.92667,1,0.1429,0.2,57382.243792,5211.392013,466.341353,926.326066,0.116949,1.499476,1338.537273,27.132281
3,3,3,0.91,0,0.1429,0.2,52036.056098,2429.363528,767.904652,1033.327808,0.067823,0.788218,1459.471864,30.031691
