generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
0,0,,0.53333,0,nan,0.3,41798.243994,2887.150356,857.279857,329.938063,0.055748,1.149029,2152.079991,54.574963,187.421391,7.993374
0,1,,0.43667,0,nan,0.3,46971.06868,2694.659924,556.859363,553.417677,0.139088,0.862825,2165.016664,45.340593,109.102787,7.900475
0,2,,0.47667,0,nan,0.3,84051.036572,5413.096325,923.38358,616.095911,0.137088,0.961796,1855.848683,39.540988,57.246371,8.991207
0,3,,0.45667,0,nan,0.3,48789.184985,5408.074194,1072.874423,380.518864,0.128314,1.306405,1573.631906,49.231635,106.502101,13.602434
0,4,,0.44333,0,nan,0.3,35296.878038,3784.350798,903.254753,930.724494,0.114165,0.774168,1147.000044,53.609154,74.926189,9.411377
0,5,,0.44,0,nan,0.3,57195.330366,3850.341979,915.721246,567.472989,0.168024,1.116904,1041.205952,52.660634,133.415841,19.208978
0,6,,0.51,0,nan,0.3,91095.568058,3335.495772,626.555347,755.774391,0.140701,1.506915,2622.295402,30.230537,152.256615,11.391471
1,0,0,0.43667,0,0.1429,0.3,41798.243994,2887.150356,857.279857,329.938063,0.055748,1.149029,2152.079991,54.574963,187.421391,7.993374
1,1,6,0.49,0,0.1429,0.3,91095.568058,3335.495772,626.555347,755.774391,0.140701,1.506915,2622.295402,30.230537,152.256615,11.391471
1,2,2,0.47,0,0.1429,0.3,84051.036572,5413.096325,923.38358,616.095911,0.137088,0.961796,1855.848683,39.540988,57.246371,8.991207
1,3,0,0.48333,0,0.1429,0.3,43973.229592,3301.915673,756.286054,367.438681,0.05894,1.25415,1615.111281,49.837293,170.1677,5.316034
1,4,6,0.48333,0,0.1429,0.3,140305.349376,2645.491391,747.168714,614.375655,0.215682,1.014526,1856.302142,43.45792,128.40757,11.063494
1,5,2,0.52667,1,0.1429,0.3,99849.939893,6717.572902,751.438156,638.737785,0.084909,1.519355,1842.538282,38.116812,69.296465,8.989104
1,6,0,0.45667,0,0.1429,0.3,46951.96014,2252.861099,798.628016,211.882182,0.071214,1.128259,2200.058065,62.439136,204.625123,7.345414
2,0,5,0.50333,0,0.2857,0.3,99849.939893,6717.572902,751.438156,638.737785,0.084909,1.519355,1842.538282,38.116812,69.296465,8.989104
2,1,1,0.47667,0,0.2857,0.3,91095.568058,3335.495772,626.555347,755.774391,0.140701,1.506915,2622.295402,30.230537,152.256615,11.391471
2,2,3,0.5,1,0.2857,0.3,43973.229592,3301.915673,756.286054,367.438681,0.05894,1.25415,1615.111281,49.837293,170.1677,5.316034
2,3,5,0.5,0,0.2857,0.3,173687.421524,6653.222271,957.053339,438.208776,0.082461,1.589246,1794.079799,35.933378,89.432479,7.870427
2,4,1,0.46667,0,0.2857,0.3,101739.891078,2899.10666,561.444721,1112.795016,0.145241,2.397185,2428.775355,32.980249,128.035114,11.715536
2,5,3,0.47333,0,0.2857,0.3,41395.275813,2081.991168,520.331142,341.056235,0.064523,0.758541,1093.526382,38.42796,126.668845,3.641235
2,6,5,0.54,1,0.2857,0.3,90808.13783,12819.398813,616.592756,974.938455,0.07364,1.657684,1542.966335,71.696148,77.271221,3.133322
3,0,6,0.49333,0,0.1429,0.3,90808.13783,12819.398813,616.592756,974.938455,0.07364,1.657684,1542.966335,71.696148,77.271221,3.133322
3,1,0,0.46333,0,0.1429,0.3,99849.939893,6717.572902,751.438156,638.737785,0.084909,1.519355,1842.538282,38.116812,69.296465,8.989104
3,2,2,0.50333,1,0.1429,0.3,43973.229592,3301.915673,756.286054,367.438681,0.05894,1.25415,1615.111281,49.837293,170.1677,5.316034
3,3,6,0.46667,0,0.1429,0.3,66108.297254,11644.785593,829.592611,690.484045,0.05089,1.445515,1980.287645,67.441958,82.63099,4.184657
3,4,0,0.49333,0,0.1429,0.3,66077.405765,6690.673002,821.114688,851.122686,0.081754,2.655623,2146.452336,30.04024,66.130599,5.06248
3,5,2,0.45667,0,0.1429,0.3,30366.707285,2412.356598,805.002777,366.058207,0.025203,0.708976,1985.53836,67.796269,137.234473,2.818589
3,6,6,0.51333,0,0.1429,0.3,80163.457192,15640.657174,446.327321,660.105186,0.046391,2.289697,1658.784448,70.800027,99.654848,2.705392
4,0,6,0.43,0,0.2857,0.3,80163.457192,15640.657174,446.327321,660.105186,0.046391,2.289697,1658.784448,70.800027,99.654848,2.705392
