generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
0,0,,0.51,0,nan,0.3,49814.957006,3901.421341,863.829699,828.289877,0.078096,1.267947,2723.775625,38.833805,63.488422,8.398266
0,1,,0.49333,0,nan,0.3,70112.919049,3210.851089,939.778482,606.534652,0.130204,0.856907,1963.310804,64.401704,109.371343,6.457716
0,2,,0.53333,0,nan,0.3,44628.093677,4711.692611,1108.971548,633.443288,0.102614,0.943937,1862.596428,30.245629,139.494151,13.041438
0,3,,0.53333,0,nan,0.3,44555.724136,2254.85926,738.641485,466.638697,0.089445,0.716587,2382.337499,38.796813,99.932736,9.083536
0,4,,0.53333,0,nan,0.3,101075.035435,2675.748043,876.68316,607.207876,0.099839,1.393113,2041.122352,60.473077,120.564436,11.347246
0,5,,0.47667,0,nan,0.3,34924.16695,4105.44977,870.299585,588.56608,0.099312,0.513935,1559.303146,50.557058,78.77429,11.303526
0,6,,0.55,0,nan,0.3,56563.293049,1613.745894,420.676425,729.815774,0.09722,1.003317,1723.94202,53.448229,91.821461,8.861701
1,0,6,0.52333,0,0.2857,0.3,56563.293049,1613.745894,420.676425,729.815774,0.09722,1.003317,1723.94202,53.448229,91.821461,8.861701
1,1,2,0.54,1,0.2857,0.3,44628.093677,4711.692611,1108.971548,633.443288,0.102614,0.943937,1862.596428,30.245629,139.494151,13.041438
1,2,3,0.51333,0,0.2857,0.3,44555.724136,2254.85926,738.641485,466.638697,0.089445,0.716587,2382.337499,38.796813,99.932736,9.083536
1,3,6,0.52333,0,0.2857,0.3,91601.735593,1020.204826,361.17374,593.83952,0.092673,1.447717,2944.875308,46.885196,75.316432,7.169319
1,4,2,0.54,1,0.2857,0.3,51094.146996,3683.521661,1285.654633,808.483987,0.124559,0.797505,1368.276968,17.223465,105.078964,9.306623
1,5,3,0.53333,0,0.2857,0.3,34048.138592,2827.194746,742.43827,674.012698,0.12818,0.642164,2387.987078,64.760937,111.182669,4.969138
