generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
5,1,3,0.48667,0,0.0,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
5,2,6,0.46667,0,0.0,0.3,65311.647788,4614.483372,630.485919,3464.751094,0.102718,1.371722,5577.296043,30.880382,91.928999,9.916379
5,3,1,0.52,0,0.0,0.3,35046.420845,3134.889763,575.528607,392.812732,0.077543,0.429577,1009.293054,30.858167,75.433781,11.843189
5,4,3,0.47667,0,0.0,0.3,59988.617012,4675.532127,431.660906,1700.014823,0.097345,1.041154,3057.53616,60.823422,89.692644,16.498365
5,5,6,0.47333,0,0.0,0.3,44156.527325,3848.182608,892.937845,4305.673123,0.073556,0.785787,3902.774074,23.708974,51.340522,10.355816
5,6,1,0.48,0,0.0,0.3,26284.833536,3669.528777,793.2154,291.968909,0.067971,0.585411,1324.618092,14.717248,126.296445,12.62869
6,0,3,0.48667,0,0.5714,0.3,35046.420845,3134.889763,575.528607,392.812732,0.077543,0.429577,1009.293054,30.858167,75.433781,11.843189
6,1,0,0.51333,1,0.5714,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
6,2,1,0.52667,1,0.5714,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
6,3,3,0.48333,0,0.5714,0.3,32896.57964,3325.554139,748.263534,429.32165,0.060856,0.429906,933.763486,45.166173,48.900169,9.07735
6,4,0,0.53333,1,0.5714,0.3,32537.900387,5213.659477,371.96374,259.897824,0.049586,0.457572,804.010488,39.706216,135.691967,6.22015
6,5,1,0.49333,1,0.5714,0.3,39137.893498,6686.401982,435.820001,1911.664116,0.10073,1.521656,5289.232012,57.199023,75.752676,13.509497
6,6,3,0.46,0,0.5714,0.3,39585.778527,2640.539253,651.556216,515.958613,0.09613,0.357019,560.572477,27.211936,87.602032,17.411613
7,0,4,0.51333,0,0.0,0.3,32537.900387,5213.659477,371.96374,259.897824,0.049586,0.457572,804.010488,39.706216,135.691967,6.22015
7,1,2,0.51333,0,0.0,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
7,2,1,0.51333,0,0.0,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
7,3,4,0.51333,0,0.0,0.3,51816.978406,4750.605379,524.582056,274.861851,0.054458,0.426913,672.592901,25.932479,187.580533,5.410926
7,4,2,0.46667,0,0.0,0.3,55384.204918,5609.739414,348.572376,1445.629905,0.120154,2.870303,2573.569907,61.984658,49.221872,15.190569
7,5,1,0.47667,0,0.0,0.3,43771.095865,4922.950262,777.41367,187.739904,0.066381,0.473931,896.117556,25.875712,222.590114,7.207063
7,6,4,0.49333,0,0.0,0.3,32012.101851,6426.854088,489.229817,244.644919,0.055134,0.315897,1586.160868,29.588011,128.872289,5.990914
8,0,0,0.48667,0,0.4286,0.3,32537.900387,5213.659477,371.96374,259.897824,0.049586,0.457572,804.010488,39.706216,135.691967,6.22015
8,1,1,0.51667,1,0.4286,0.3,62179.486304,5437.394261,417.507984,1709.052311,0.097517,1.325406,3105.454139,51.65864,66.901196,8.836337
8,2,2,0.52667,1,0.4286,0.3,32251.004691,3952.067495,690.244777,277.065163,0.10292,0.478826,1301.582633,28.193751,118.584666,7.505748
8,3,0,0.46667,0,0.4286,0.3,65868.44357,7279.354676,348.441936,283.226634,0.053268,0.596442,525.036219,37.165451,167.194346,4.498609
8,4,1,0.51,0,0.4286,0.3,61795.738738,7555.864614,520.947371,2639.67798,0.071258,1.141621,2516.511419,56.969168,51.279736,7.148185
