generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse
0,0,,0.68333,0,nan,0.3,68010.352157,3006.836434,1055.449716,729.863832,0.108118,0.644581,1709.64069,58.6628
0,1,,0.68333,0,nan,0.3,40752.655849,3882.840659,1006.716918,1276.819141,0.106592,1.014396,1424.95206,63.656591
0,2,,0.67333,0,nan,0.3,77622.434973,2572.114963,972.292194,816.22484,0.085039,0.570875,1494.567961,41.957824
0,3,,0.77667,0,nan,0.3,65726.458037,4495.051602,980.776836,463.328175,0.077207,0.686789,1815.160081,45.343501
0,4,,0.51,0,nan,0.3,26202.124202,2752.250973,764.354738,734.405686,0.074532,0.850734,1888.323702,39.20118
0,5,,0.62667,0,nan,0.3,36567.55212,3495.778255,675.911833,574.169939,0.076446,0.726896,1451.130007,34.631422
0,6,,0.66667,0,nan,0.3,66459.107879,3117.370891,745.475607,1016.744148,0.113061,1.18772,1570.587497,53.580612
1,0,3,0.67333,0,0.2857,0.3,65726.458037,4495.051602,980.776836,463.328175,0.077207,0.686789,1815.160081,45.343501
1,1,0,0.62667,0,0.2857,0.3,68010.352157,3006.836434,1055.449716,729.863832,0.108118,0.644581,1709.64069,58.6628
1,2,1,0.80333,1,0.2857,0.3,40752.655849,3882.840659,1006.716918,1276.819141,0.106592,1.014396,1424.95206,63.656591
1,3,3,0.74333,0,0.2857,0.3,78529.761395,4880.015614,1112.755359,592.54649,0.086724,1.253842,1152.703832,62.913565
1,4,0,0.82,1,0.2857,0.3,80740.760934,2068.426512,1333.974014,586.658139,0.091641,0.757832,3090.132561,43.149258
1,5,1,0.59667,0,0.2857,0.3,42544.860381,3248.874352,654.816852,1875.749705,0.166797,0.98619,1450.146229,92.762394
1,6,3,0.71667,0,0.2857,0.3,47619.3383,3836.488654,2057.979678,586.430835,0.094903,0.385908,1564.346957,30.925676
2,0,4,0.77,0,0.1429,0.3,80740.760934,2068.426512,1333.974014,586.658139,0.091641,0.757832,3090.132561,43.149258
2,1,2,0.74333,0,0.1429,0.3,40752.655849,3882.840659,1006.716918,1276.819141,0.106592,1.014396,1424.95206,63.656591
2,2,3,0.66,0,0.1429,0.3,78529.761395,4880.015614,1112.755359,592.54649,0.086724,1.253842,1152.703832,62.913565
2,3,4,0.6,0,0.1429,0.3,51784.755775,2269.160083,965.690404,502.674924,0.11474,0.784638,2086.555565,48.300661
2,4,2,0.6,0,0.1429,0.3,41599.260147,4738.855162,642.983098,1870.368161,0.068513,1.178071,701.735049,71.061094
2,5,3,0.76667,1,0.1429,0.3,84093.627674,4162.743171,886.112607,511.676424,0.158954,1.747003,980.661351,31.960186
2,6,4,0.72,0,0.1429,0.3,80177.978942,1965.61144,1308.79018,425.886621,0.101224,0.66558,3872.337021,38.486871
3,0,0,0.74,0,0.2857,0.3,80740.760934,2068.426512,1333.974014,586.658139,0.091641,0.757832,3090.132561,43.149258
3,1,5,0.80667,1,0.2857,0.3,84093.627674,4162.743171,886.112607,511.676424,0.158954,1.747003,980.661351,31.960186
3,2,1,0.78333,1,0.2857,0.3,40752.655849,3882.840659,1006.716918,1276.819141,0.106592,1.014396,1424.95206,63.656591
3,3,0,0.57333,0,0.2857,0.3,77341.61475,2071.877928,1009.178896,589.46327,0.071275,1.024656,3291.297485,44.510803
3,4,5,0.72333,0,0.2857,0.3,82251.169359,5393.719972,1093.863465,532.419984,0.229789,1.494368,932.443389,29.720713
3,5,1,0.55,0,0.2857,0.3,50833.337725,3182.450102,922.873727,1459.644489,0.173436,1.590893,1219.766319,79.730292
