generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
0,0,,0.49,0,nan,0.3,51235.990426,1827.489959,1021.63999,732.928647,0.079543,0.948285,1431.398566,55.280337,86.772185,13.179169
0,1,,0.49333,0,nan,0.3,54513.710031,3130.370043,1312.97851,764.357053,0.095898,0.742419,2890.12846,36.363706,82.914667,7.733543
0,2,,0.52333,0,nan,0.3,69485.71911,3855.368577,1216.644224,513.933735,0.132688,1.897593,1368.424759,43.716944,93.258094,9.408912
0,3,,0.53667,0,nan,0.3,57434.551773,3176.425045,765.329489,965.691409,0.094159,1.431637,1824.704068,52.954423,80.937451,15.528916
0,4,,0.48333,0,nan,0.3,41899.061102,3653.922634,882.357609,1168.579405,0.087108,1.260464,2215.830486,63.271451,64.098496,13.539722
0,5,,0.49667,0,nan,0.3,32527.994199,3024.917769,777.69217,708.252741,0.072703,0.840603,1645.296377,51.266625,61.809545,11.446221
0,6,,0.51,0,nan,0.3,46095.682598,3017.910912,732.781539,377.939777,0.088043,1.775189,2018.152156,41.387945,170.759412,10.733248
1,0,3,0.49,0,0.2857,0.3,57434.551773,3176.425045,765.329489,965.691409,0.094159,1.431637,1824.704068,52.954423,80.937451,15.528916
1,1,2,0.59,1,0.2857,0.3,69485.71911,3855.368577,1216.644224,513.933735,0.132688,1.897593,1368.424759,43.716944,93.258094,9.408912
1,2,6,0.48,0,0.2857,0.3,46095.682598,3017.910912,732.781539,377.939777,0.088043,1.775189,2018.152156,41.387945,170.759412,10.733248
1,3,3,0.52333,0,0.2857,0.3,52623.238168,4661.956209,863.795805,1003.296086,0.067615,1.10552,1699.729234,52.035959,145.014924,9.693362
1,4,2,0.51,0,0.2857,0.3,47975.459554,4904.371407,1935.287401,624.824073,0.071052,1.695123,1225.655029,28.549507,89.990647,8.766234
1,5,6,0.55,1,0.2857,0.3,91588.672663,7015.342509,358.386018,181.254013,0.185058,2.064176,1827.865496,43.448395,173.049342,8.517837
1,6,3,0.48333,0,0.2857,0.3,70034.542844,2341.395213,1192.821226,1255.279711,0.052896,1.275338,2895.806652,58.014545,114.917905,12.637278
2,0,1,0.5,0,0.0,0.3,69485.71911,3855.368577,1216.644224,513.933735,0.132688,1.897593,1368.424759,43.716944,93.258094,9.408912
2,1,5,0.52333,0,0.0,0.3,91588.672663,7015.342509,358.386018,181.254013,0.185058,2.064176,1827.865496,43.448395,173.049342,8.517837
2,2,3,0.51,0,0.0,0.3,52623.238168,4661.956209,863.795805,1003.296086,0.067615,1.10552,1699.729234,52.035959,145.014924,9.693362
2,3,1,0.48333,0,0.0,0.3,91734.634269,2888.88943,1259.84802,664.377621,0.128009,1.470766,1171.825675,66.19776,86.986868,6.866379
2,4,5,0.45333,0,0.0,0.3,79589.912148,4881.280763,411.237148,179.471724,0.124589,2.21244,1835.040245,50.538357,212.084529,3.631209
2,5,3,0.51,0,0.0,0.3,33057.263159,3897.202732,802.688508,1311.670813,0.066428,0.759155,1537.719531,48.620521,134.207146,9.231998
2,6,1,0.52,0,0.0,0.3,88183.184448,7347.335734,873.616031,486.449719,0.102441,1.920603,1771.813952,39.676091,99.627784,11.901843
3,0,1,0.53,1,0.1429,0.3,91588.672663,7015.342509,358.386018,181.254013,0.185058,2.064176,1827.865496,43.448395,173.049342,8.517837
3,1,6,0.48667,0,0.1429,0.3,88183.184448,7347.335734,873.616031,486.449719,0.102441,1.920603,1771.813952,39.676091,99.627784,11.901843
3,2,2,0.49,0,0.1429,0.3,52623.238168,4661.956209,863.795805,1003.296086,0.067615,1.10552,1699.729234,52.035959,145.014924,9.693362
3,3,1,0.5,0,0.1429,0.3,102178.51039,8874.016561,378.708547,324.247015,0.131247,2.364531,2139.343207,38.991274,133.851989,7.701792
3,4,6,0.47333,0,0.1429,0.3,98946.429363,6146.69758,1093.502521,327.701545,0.172793,0.891314,1496.596632,25.547638,59.234096,7.05149
3,5,2,0.5,0,0.1429,0.3,37816.836885,4082.743161,1026.925023,1160.282137,0.060247,0.888412,985.460683,84.425394,121.481975,9.695208
3,6,1,0.46,0,0.1429,0.3,67356.730841,7209.258934,260.169611,114.906189,0.177322,1.52739,2418.866006,53.15593,130.064118,10.044171
4,0,0,0.47667,0,0.2857,0.3,91588.672663,7015.342509,358.386018,181.254013,0.185058,2.064176,1827.865496,43.448395,173.049342,8.517837
4,1,3,0.48333,0,0.2857,0.3,102178.51039,8874.016561,378.708547,324.247015,0.131247,2.364531,2139.343207,38.991274,133.851989,7.701792
4,2,5,0.49667,0,0.2857,0.3,37816.836885,4082.743161,1026.925023,1160.282137,0.060247,0.888412,985.460683,84.425394,121.481975,9.695208
4,3,0,0.49,0,0.2857,0.3,58066.855963,12709.812467,571.429497,189.999644,0.270731,2.685126,1102.664527,40.63325,236.682097,10.638318
4,4,3,0.51,1,0.2857,0.3,174915.625297,5737.596544,273.416571,329.398552,0.117608,2.397682,2180.742254,41.026398,104.531377,7.95684
4,5,5,0.53667,1,0.2857,0.3,48383.529605,3196.900499,1350.186043,1138.08855,0.055776,1.11638,637.337416,58.562813,183.538501,8.464388
4,6,0,0.49,0,0.2857,0.3,136093.622923,9232.414849,741.516019,142.885956,0.19523,1.549072,1542.024177,22.683576,127.118237,9.057111
5,0,5,0.44333,0,0.4286,0.3,48383.529605,3196.900499,1350.186043,1138.08855,0.055776,1.11638,637.337416,58.562813,183.538501,8.464388
5,1,4,0.46333,0,0.4286,0.3,174915.625297,5737.596544,273.416571,329.398552,0.117608,2.397682,2180.742254,41.026398,104.531377,7.95684
5,2,2,0.51,1,0.4286,0.3,37816.836885,4082.743161,1026.925023,1160.282137,0.060247,0.888412,985.460683,84.425394,121.481975,9.695208
5,3,5,0.49667,0,0.4286,0.3,76265.035882,2432.00726,1042.77657,963.849994,0.087387,0.95842,539.252863,41.208566,201.479414,11.073297
5,4,4,0.52,1,0.4286,0.3,209337.971732,3486.088461,338.890726,431.949193,0.094594,1.477039,1831.944421,45.951779,104.657617,11.737615
5,5,2,0.51,1,0.4286,0.3,27036.521965,4713.229215,1138.8986,643.484037,0.064328,0.787403,819.919768,113.878505,157.317125,11.539616
5,6,5,0.49,0,0.4286,0.3,48192.105042,2858.580992,1469.231865,604.202132,0.043641,0.874838,583.01458,56.526289,161.698138,7.81218
