generation,model_idx,parent_id,fitness,improved,success_rate,sigma,WinReward,InvestReward,InvestDecay,AntiSpend,SavingsWeight,CombatScale,GadgetUpgrade,GadgetUse,BoardShaperStart,BoardShaperEnd
0,0,,0.46667,0,nan,0.3,61449.458694,4012.639852,910.669756,529.273425,0.102223,0.656594,1698.888655,43.302222,111.672246,17.031719
0,1,,0.45333,0,nan,0.3,63789.800992,3503.269266,610.685086,945.06325,0.088344,1.349148,2126.704767,30.872324,112.684424,9.124254
0,2,,0.47,0,nan,0.3,57218.903103,3942.067949,1183.751705,764.091385,0.126143,1.288091,1582.578205,37.401527,95.650691,5.274792
0,3,,0.50667,0,nan,0.3,53058.353683,3001.303187,695.059684,945.091945,0.071154,0.939485,1768.66667,48.188345,66.742184,12.373869
0,4,,0.51333,0,nan,0.3,85420.838766,3388.22876,488.648844,353.697467,0.084272,0.949194,1796.025247,51.222545,117.827724,10.894005
0,5,,0.47333,0,nan,0.3,57293.572409,2767.856308,1171.950736,1010.671816,0.07381,1.211088,1567.831255,52.713989,70.002559,11.213236
0,6,,0.53,0,nan,0.3,65088.133754,4793.898216,704.875228,816.182128,0.088017,1.387038,2530.073049,53.635834,75.135751,12.350664
1,0,6,0.41667,0,0.0,0.3,65088.133754,4793.898216,704.875228,816.182128,0.088017,1.387038,2530.073049,53.635834,75.135751,12.350664
1,1,4,0.46,0,0.0,0.3,85420.838766,3388.22876,488.648844,353.697467,0.084272,0.949194,1796.025247,51.222545,117.827724,10.894005
1,2,3,0.48333,0,0.0,0.3,53058.353683,3001.303187,695.059684,945.091945,0.071154,0.939485,1768.66667,48.188345,66.742184,12.373869
1,3,6,0.48333,0,0.0,0.3,59213.938273,5246.41494,1195.442896,760.009722,0.0888,1.583528,2650.424661,46.677988,61.430822,12.411811
1,4,4,0.47,0,0.0,0.3,84867.469531,3300.898802,690.046016,438.974848,0.098586,0.618011,2021.571489,81.47596,75.565251,8.154359
1,5,3,0.46667,0,0.0,0.3,67690.157914,3696.547708,776.350379,839.497085,0.0851,1.055251,2121.176355,57.898954,75.862879,23.737247
1,6,6,0.46667,0,0.0,0.3,61749.585824,3990.596955,828.357692,849.065719,0.086127,1.717145,2199.702543,41.487915,65.932097,14.307981
2,0,2,0.47,0,0.5714,0.3,53058.353683,3001.303187,695.059684,945.091945,0.071154,0.939485,1768.66667,48.188345,66.742184,12.373869
2,1,3,0.51667,1,0.5714,0.3,59213.938273,5246.41494,1195.442896,760.009722,0.0888,1.583528,2650.424661,46.677988,61.430822,12.411811
2,2,4,0.47,0,0.5714,0.3,84867.469531,3300.898802,690.046016,438.974848,0.098586,0.618011,2021.571489,81.47596,75.565251,8.154359
2,3,2,0.47667,0,0.5714,0.3,50913.55241,2898.672551,510.30092,1342.715122,0.057525,1.131042,3072.218881,38.378821,50.24894,12.759134
2,4,3,0.51,1,0.5714,0.3,48156.621879,5459.64434,1346.83189,623.627102,0.082727,1.115036,2752.383455,51.784668,42.596195,12.024938
2,5,4,0.5,1,0.5714,0.3,115414.45578,5646.318252,786.766349,615.790201,0.132754,0.603324,1658.702567,74.009394,69.696326,10.13116
2,6,2,0.51,1,0.5714,0.3,77939.192008,2952.280718,769.932882,799.459968,0.066505,0.942872,3631.257092,47.7085,70.174121,12.734202
3,0,1,0.50667,0,0.2857,0.3,59213.938273,5246.41494,1195.442896,760.009722,0.0888,1.583528,2650.424661,46.677988,61.430822,12.411811
3,1,4,0.48,0,0.2857,0.3,48156.621879,5459.64434,1346.83189,623.627102,0.082727,1.115036,2752.383455,51.784668,42.596195,12.024938
